,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
990,0,3760,1537,85.4,100.98,2266,7338,-1,-1,45,45,1,50,45,5,1,1,3,True,,930,1344,False,False,10,,765,928,1553,7,50,50,Left,0.014509326000000001,0.10850166900000001,0.620597768,0.707432339,-0.626154867,0.476384087,3000.0,Free,"Incorrect, no change",4,4
991,0,3004,1584,99.0,89.6,3629,1116,-1,-1,44,44,0,44,50,6,1,1,2,False,,816,820,True,True,10,,880,1274,1558,5,50,50,Right,0.718848745,0.748198102,-0.006307468,0.188497665,-0.130994742,0.21326370600000003,3000.0,Free,"Incorrect, no change",2,5
994,0,1526,2408,96.95,98.0,21447,1133,1,-1,50,41,1,41,50,9,0,1,1,False,,950,445,False,True,10,,743,2086,1792,99,41,50,Left,0.612679935,0.651773272,0.456434534,0.571542592,1.3544856330000001,-0.30114359999999996,3000.0,Free,Correct to incorrect,3,6
1001,0,1905,1185,96.87,101.27,2300,10635,1,1,57,57,1,50,57,7,0,1,3,False,,822,812,False,False,10,,710,1296,3048,198,50,50,Left,0.6085367620000001,0.648010352,0.636573385,0.7206565090000001,0.36416538299999995,-0.169235367,3000.0,Free,"Correct, no change",2,3
1002,1,1206,3904,98.4,101.18,9665,13041,-1,-1,43,43,1,50,43,7,1,1,2,True,,882,514,False,False,10,,821,1145,3048,0,50,50,Left,0.6877749470000001,0.7199762,0.631615435,0.716552457,0.36416538299999995,-0.41251730700000006,3000.0,Free,"Incorrect, no change",2,4
1004,1,1273,1415,97.22,100.17,2894,1515,1,1,50,50,2,50,42,8,0,2,2,True,,856,1352,True,True,10,,800,574,3445,198,42,42,Left,0.626663144,0.664473128,0.575976218,0.6704958639999999,0.859325508,-0.389198437,3000.0,Free,"Correct, no change",2,2
1006,1,1878,1476,95.72,101.52,1692,3740,-1,-1,43,43,1,50,43,7,1,1,2,True,,956,1471,False,False,10,,761,570,3646,2,50,50,Left,0.54897865,0.593918374,0.6503454679999999,0.7320566559999999,0.36416538299999995,-0.17863252300000002,3000.0,Free,"Incorrect, no change",2,1
1010,1,3635,11997,98.0,101.5,2345,6731,1,1,50,50,1,42,50,8,0,0,3,False,,438,984,False,False,10,,574,1488,4286,199,42,42,Left,0.667059081,0.7011616,0.6492437010000001,0.731144644,0.859325508,0.43287873299999996,3000.0,Free,"Correct, no change",1,4
1019,1,9567,1517,3.5,61.75,3818,261,-1,-1,41,41,1,41,50,9,1,2,3,False,,766,679,True,True,10,,796,1904,5515,67,50,50,Right,-4.227064083,-3.743787878,-1.540517559,-1.08147867,1.3544856330000001,2.497468815,3000.0,Free,"Incorrect, no change",4,3
1020,1,6505,10913,92.6,101.42,7578,732,1,1,60,60,1,50,60,10,0,2,4,False,,844,1036,False,False,10,,786,1518,5711,196,50,50,Right,0.387394901,0.447164486,0.644836635,0.727496597,1.8496457590000002,1.431761662,3000.0,Free,"Correct, no change",2,4
1021,1,11621,10464,95.95,101.35,14824,7361,1,1,59,59,1,50,59,9,0,1,2,False,,792,636,False,False,10,,780,1049,5908,197,50,50,Left,0.5608902720000001,0.60473677,0.640980451,0.724304556,1.3544856330000001,3.2123487930000003,3000.0,Free,"Correct, no change",2,2
1022,1,1245,830,94.05,97.35,921,847,1,1,59,59,2,59,50,9,0,1,3,True,,967,1293,True,True,10,,640,864,6103,195,50,50,Right,0.462489912,0.515367415,0.42062711700000005,0.54190221,1.3544856330000001,-0.398943636,3000.0,Free,"Correct, no change",3,2
1024,2,1540,1718,50.88,101.22,1021,21246,1,1,59,59,1,50,59,9,0,1,3,False,,816,1560,False,False,10,,801,1102,6303,175,50,50,Left,-1.773269844,-1.515198394,0.6338189679999999,0.71837648,1.3544856330000001,-0.29627100100000003,3000.0,Free,"Correct, no change",1,3
1026,2,1430,2201,97.88,92.02,2727,2508,1,1,50,50,1,50,42,8,0,1,2,True,,1198,1020,True,True,10,,498,588,6692,194,42,42,Right,0.660844322,0.6955172190000001,0.12700629900000002,0.298851084,0.859325508,-0.334555712,3000.0,Free,"Correct, no change",1,4
1031,2,2534,2371,79.63,83.35,1961,1458,1,1,50,50,1,41,50,9,0,1,3,False,,954,1410,False,False,10,,782,1349,7251,180,41,41,Left,-0.28431703,-0.16289895,-0.35060955299999996,-0.096506001,1.3544856330000001,0.049683575,3000.0,Free,"Correct, no change",4,4
1034,2,1131,2312,98.67,101.13,2235,6446,1,1,50,50,2,50,40,10,0,1,3,True,,502,1500,True,True,10,,812,981,7744,199,40,40,Right,0.7017581559999999,0.732676056,0.6288610179999999,0.714272427,1.8496457590000002,-0.438620519,3000.0,Free,"Correct, no change",2,4
1038,2,3915,2158,98.35,101.23,1413,7570,1,1,59,59,1,59,50,9,0,1,1,True,,568,578,True,True,10,,934,1060,8345,199,50,50,Right,0.685185464,0.717624375,0.634369851,0.7188324859999999,1.3544856330000001,0.530330726,3000.0,Free,"Correct, no change",1,3
1039,2,11641,3418,21.68,100.33,1752,804,-1,1,42,50,0,50,42,8,1,1,2,True,,806,1225,False,True,10,,892,966,8484,139,50,42,Right,-3.285528007,-2.888664265,0.584790351,0.6777919579999999,0.859325508,3.21930965,3000.0,Free,Incorrect to correct,2,2
1043,2,2134,1490,63.53,98.92,993,3533,-1,1,50,59,0,59,50,9,1,1,3,True,,968,1134,False,True,10,,724,1182,9006,117,59,50,Left,-1.118130606,-0.9201866390000001,0.507115801,0.613495131,1.3544856330000001,-0.08953355800000001,3000.0,Free,Incorrect to correct,4,4
1045,3,1356,2595,72.82,70.35,1613,1156,1,1,60,60,2,60,50,10,0,1,3,True,,982,1630,True,True,10,,755,824,9374,171,50,50,Left,-0.637004636,-0.48321753100000003,-1.06675789,-0.6893136259999999,1.8496457590000002,-0.36031088200000005,3000.0,Free,"Correct, no change",3,5
1046,3,1167,1398,72.4,98.62,543,1415,1,1,50,50,1,41,50,9,0,1,4,False,,940,1058,False,False,10,,746,1075,9559,185,41,41,Left,-0.658756294,-0.502972862,0.49058930100000003,0.599814955,1.3544856330000001,-0.42609097700000004,3000.0,Free,"Correct, no change",3,2
1048,3,1169,1388,87.2,101.78,793,778,1,1,58,58,1,58,50,8,0,1,2,True,,974,1236,True,True,10,,750,536,9941,193,50,50,Left,0.10773072,0.193167373,0.664668435,0.743912809,0.859325508,-0.425394892,3000.0,Free,"Correct, no change",2,2
1052,3,1166,2536,99.17,74.67,1593,719,-1,-1,42,42,0,42,50,8,1,1,3,False,,749,933,True,True,10,,972,1430,10438,12,50,50,Right,0.727652987,0.756194307,-0.8287762890000001,-0.492319092,0.859325508,-0.42643902,3000.0,Free,"Incorrect, no change",2,6
1054,3,1402,1460,92.72,100.93,1227,5337,1,1,50,50,2,41,50,9,0,1,2,False,,729,1048,False,False,10,,976,1000,10816,196,41,41,Right,0.39360966,0.452808867,0.617843351,0.70515231,1.3544856330000001,-0.344300912,3000.0,Free,"Correct, no change",3,4
1060,3,1162,1241,99.33,98.03,784,12207,1,1,50,50,2,42,50,8,0,1,3,False,,693,1120,False,False,10,,980,1270,11825,198,42,42,Right,0.7359393329999999,0.763720148,0.458087184,0.572910609,0.859325508,-0.427831191,3000.0,Free,"Correct, no change",2,3
1062,3,3942,1999,55.45,63.63,403,1668,-1,1,43,50,1,43,50,7,1,1,3,False,,798,1167,True,False,10,,894,1178,12107,103,50,43,Right,-1.536591084,-1.300241578,-1.436951492,-0.9957495679999999,0.36416538299999995,0.539727883,3000.0,Free,Incorrect to correct,2,4
1066,4,1706,1614,50.87,52.65,847,975,-1,1,43,50,1,50,43,7,1,1,3,True,,741,1420,False,True,10,,962,1052,12783,100,50,43,Right,-1.773787741,-1.515668759,-2.041821395,-1.496444008,0.36416538299999995,-0.23849589100000002,3000.0,Free,Incorrect to correct,2,4
1067,4,1695,1152,3.65,97.87,3388,1227,1,1,50,50,1,42,50,8,0,1,3,False,,790,930,False,False,10,,896,1122,12932,149,42,42,Right,-4.219295633,-3.736732403,0.44927305,0.565614515,0.859325508,-0.242324362,3000.0,Free,"Correct, no change",3,2
1068,4,1368,3218,98.58,99.87,812,2350,1,1,50,50,2,42,50,8,0,1,3,False,,732,914,False,False,10,,906,1039,13130,198,42,42,Right,0.697097086,0.728442771,0.559449718,0.656815688,0.859325508,-0.356134368,3000.0,Free,"Correct, no change",3,2
1072,4,1712,1714,95.55,97.43,1280,1174,1,1,50,50,2,44,50,6,0,2,3,False,,654,766,False,False,10,,1005,871,13891,195,44,44,Right,0.5401744070000001,0.5859221689999999,0.425034184,0.545550257,-0.130994742,-0.23640763399999998,3000.0,Free,"Correct, no change",3,1
1073,4,1345,1344,94.53,97.08,692,835,-1,-1,45,45,0,50,45,5,1,2,5,True,,976,1149,False,False,10,,690,1130,13894,3,50,50,Left,0.48734895,0.537944936,0.40575326700000003,0.529590052,-0.626154867,-0.36413935299999994,3000.0,Free,"Incorrect, no change",2,2
1076,4,1325,1511,96.3,98.65,643,1353,1,1,50,50,1,45,50,5,0,1,4,False,,920,1226,False,False,10,,771,1093,14481,197,45,45,Left,0.579016654,0.621199545,0.492241951,0.601182973,-0.626154867,-0.37110021,3000.0,Free,"Correct, no change",3,5
1080,4,2189,1448,66.87,66.32,1235,629,-1,1,47,50,0,47,50,3,1,1,2,False,,1008,1250,True,False,10,,604,1027,15130,99,50,47,Right,-0.945153131,-0.7630847209999999,-1.288763875,-0.87308399,-1.616475118,-0.070391202,3000.0,Free,Incorrect to correct,3,2
1087,5,1627,1491,97.02,93.07,6806,883,1,1,50,50,2,50,47,3,0,1,2,True,,928,1214,True,True,10,,787,868,16240,194,47,47,Left,0.616305212,0.655065827,0.184849049,0.3467317,-1.616475118,-0.265991274,3000.0,Free,"Correct, no change",3,2
1089,5,1830,2574,85.98,99.92,1125,2078,-1,-1,50,50,1,52,50,2,1,1,2,True,,944,1396,False,False,10,,733,1138,16445,7,52,52,Left,0.044547330999999996,0.135782841,0.562204134,0.659095718,-2.1116352430000003,-0.19533857899999998,3000.0,Free,"Incorrect, no change",2,3
1097,5,2667,1844,59.05,99.88,421,1829,-1,-1,50,50,1,50,54,4,1,1,1,False,,716,1740,True,True,10,,938,820,17472,20,54,54,Right,-1.3501482969999998,-1.130910169,0.560000601,0.657271694,-1.121314992,0.095973271,3000.0,Free,"Incorrect, no change",3,4
1099,5,3121,1662,97.38,98.37,1413,1092,1,1,50,50,2,50,45,5,0,1,2,True,,775,1090,True,True,10,,868,540,17867,197,45,45,Right,0.63494949,0.6719989679999999,0.476817217,0.588414809,-0.626154867,0.25398471699999997,3000.0,Free,"Correct, no change",3,3
1102,5,2075,1884,54.55,55.87,1001,1814,-1,-1,50,50,1,50,53,3,1,1,2,False,,882,1578,True,True,10,,764,839,18297,44,53,53,Right,-1.5832017809999999,-1.34257443,-1.864436961,-1.349610119,-1.616475118,-0.110068085,3000.0,Free,"Incorrect, no change",4,6
1103,5,1357,1459,96.37,101.15,12121,5264,1,1,54,54,1,50,54,4,0,1,3,False,,854,1060,False,False,10,,662,851,18495,198,50,50,Left,0.5826419310000001,0.624492101,0.629962785,0.7151844390000001,-1.121314992,-0.359962839,3000.0,Free,"Correct, no change",4,2
1104,5,1291,2088,82.23,99.68,1845,3801,-1,-1,50,50,1,54,50,4,1,1,2,True,,918,1638,False,False,10,,772,839,18503,8,54,54,Left,-0.14966390599999999,-0.040604044,0.548982934,0.648151577,-1.121314992,-0.382933666,3000.0,Free,"Incorrect, no change",2,4
1111,6,1855,1150,98.6,100.13,1938,4567,1,1,50,50,2,42,50,8,0,1,3,False,,922,1320,False,False,10,,628,1216,19387,199,42,42,Right,0.6981328790000001,0.7293835009999999,0.573772684,0.668671841,0.859325508,-0.18663750899999998,3000.0,Free,"Correct, no change",3,3
1113,6,1536,988,95.03,87.42,422,22264,1,1,50,50,2,50,43,7,0,1,3,True,,961,1471,True,True,10,,700,1104,19768,190,43,43,Right,0.513243782,0.561463187,-0.126400036,0.08908838599999999,0.36416538299999995,-0.297663172,3000.0,Free,"Correct, no change",3,2
1114,6,736,1419,88.62,87.1,985,1239,1,1,56,56,2,56,50,6,0,1,3,True,,736,1228,True,True,10,,780,1214,19955,187,50,50,Right,0.18127204100000002,0.25995920699999997,-0.144028302,0.074496198,-0.130994742,-0.576097438,3000.0,Free,"Correct, no change",2,4
1116,6,1001,1244,97.78,100.4,1122,795,1,1,55,55,2,50,55,5,0,1,3,False,,754,1422,False,False,10,,672,994,20351,198,50,50,Left,0.655665356,0.690813569,0.588646534,0.6809839990000001,-0.626154867,-0.48386608700000006,3000.0,Free,"Correct, no change",3,2
1119,6,1845,1995,95.0,97.5,1514,2410,1,1,55,55,1,50,55,5,0,1,3,False,,955,1240,False,False,10,,770,1263,20743,195,50,50,Right,0.511690092,0.5600520920000001,0.42889036700000005,0.548742298,-0.626154867,-0.190117937,3000.0,Free,"Correct, no change",3,4
1120,6,1095,1653,59.28,73.2,1122,1079,1,1,50,50,2,45,50,5,0,1,2,False,,762,1150,False,False,10,,904,1343,20908,165,45,45,Right,-1.338236674,-1.120091774,-0.9097561390000001,-0.559351955,-0.626154867,-0.451150061,3000.0,Free,"Correct, no change",3,5
1123,6,971,3212,85.65,100.25,797,827,1,1,50,50,1,45,50,5,0,1,2,False,,780,947,False,False,10,,780,834,21416,192,45,45,Left,0.027456742000000003,0.120260795,0.5803832839999999,0.6741439109999999,-0.626154867,-0.494307372,3000.0,Free,"Correct, no change",5,2
1130,7,849,1292,98.23,100.8,912,2542,1,1,50,50,1,45,50,5,0,1,3,False,,972,1474,False,False,10,,678,975,22416,199,45,45,Left,0.678970704,0.711979995,0.610681868,0.6992242340000001,-0.626154867,-0.536768598,3000.0,Free,"Correct, no change",2,4
1133,7,1313,1681,6.22,41.2,7426,622,-1,-1,45,45,0,45,50,5,1,2,4,False,,965,1270,True,True,10,,660,1190,22771,75,50,50,Left,-4.086196199,-3.615848592,-2.672582815,-2.018570724,-0.626154867,-0.375276724,3000.0,Free,"Incorrect, no change",4,2
1137,7,1804,1213,91.2,99.52,12779,1738,1,1,50,50,2,45,50,5,0,1,2,False,,934,990,False,False,10,,777,936,23486,194,45,45,Left,0.314889372,0.38131338299999995,0.540168801,0.640855483,-0.626154867,-0.204387693,3000.0,Free,"Correct, no change",1,1
1140,7,1188,1715,95.25,81.55,1233,397,1,1,55,55,1,50,55,5,0,2,2,False,,911,1853,False,False,10,,712,934,23869,187,50,50,Left,0.524637508,0.571811218,-0.449768554,-0.178587057,-0.626154867,-0.41878207799999995,3000.0,Free,"Correct, no change",4,7
1143,7,1590,1816,98.2,101.23,1598,1850,1,1,50,50,2,50,46,4,0,2,2,True,,848,1723,True,True,10,,707,908,24440,199,46,46,Right,0.6774170140000001,0.7105689000000001,0.634369851,0.7188324859999999,-1.121314992,-0.27886885899999997,3000.0,Free,"Correct, no change",4,3
1146,7,2269,2197,96.77,57.92,8747,2681,1,-1,54,50,2,54,50,4,0,1,1,True,,752,1862,True,False,10,,844,446,24720,119,50,54,Right,0.6033577960000001,0.6433067020000001,-1.7515058769999998,-1.256128917,-1.121314992,-0.042547775999999995,3000.0,Free,Correct to incorrect,5,4
1149,8,1398,2260,54.68,94.43,1046,6943,-1,1,48,50,0,48,50,2,1,2,3,False,,1094,1292,True,False,10,,588,1459,25233,119,50,48,Left,-1.576469125,-1.336459685,0.259769183,0.40874849799999996,-2.1116352430000003,-0.34569308299999996,3000.0,Free,Incorrect to correct,3,3
1157,8,1310,1660,92.68,87.83,1586,326,-1,-1,45,45,1,50,45,5,1,1,3,True,,956,1549,False,False,10,,791,1129,26102,9,50,50,Left,0.39153807399999996,0.450927407,-0.103813819,0.107784626,-0.626154867,-0.37632085200000004,3000.0,Free,"Incorrect, no change",3,5
1159,8,2215,1816,64.47,74.5,487,330,1,1,57,57,1,57,50,7,0,1,3,True,,965,1412,True,True,10,,710,977,26296,169,50,50,Right,-1.069448323,-0.875972326,-0.8381413059999999,-0.500071192,0.36416538299999995,-0.061342089,3000.0,Free,"Correct, no change",3,5
1160,8,736,1213,96.75,98.18,1780,768,1,1,57,57,2,50,57,7,0,1,2,False,,936,926,False,False,10,,660,628,26493,197,50,50,Left,0.6023220029999999,0.642365972,0.466350434,0.579750697,0.36416538299999995,-0.576097438,3000.0,Free,"Correct, no change",3,1
1163,8,1195,1266,98.67,99.95,1676,828,1,1,57,57,1,50,57,7,0,1,2,False,,860,1740,False,False,10,,800,680,27008,198,50,50,Left,0.7017581559999999,0.732676056,0.5638567839999999,0.660463735,0.36416538299999995,-0.41634577799999994,3000.0,Free,"Correct, no change",4,4
1164,8,1131,1156,98.75,100.47,1045,1126,1,1,50,50,2,50,43,7,0,1,3,True,,904,1122,True,True,10,,672,868,27207,199,43,43,Right,0.705901329,0.736438976,0.592502718,0.68417604,0.36416538299999995,-0.438620519,3000.0,Free,"Correct, no change",3,2
1165,8,903,2950,98.88,64.93,786,1163,1,1,56,56,1,50,56,6,0,1,3,False,,962,1145,False,False,10,,616,1358,27388,181,50,50,Left,0.712633985,0.742553722,-1.3653366580000001,-0.936468805,-0.130994742,-0.517974285,3000.0,Free,"Correct, no change",2,3
1170,9,1655,1701,78.12,97.53,812,761,1,1,50,50,1,45,50,5,0,1,3,False,,768,1641,False,False,10,,904,1084,28049,187,45,45,Left,-0.362519421,-0.233924068,0.43054301700000003,0.550110316,-0.626154867,-0.256246075,3000.0,Free,"Correct, no change",5,4
1172,0,1634,1762,90.0,92.05,685,1020,1,1,60,60,1,60,50,10,0,4,2,True,,806,1344,True,True,11,,702,796,379,191,50,50,Left,0.714865682,0.6481575620000001,0.534273829,0.562632941,1.7654110580000002,-0.14090027800000002,3000.0,Free,"Correct, no change",2,4
1173,0,1432,1768,47.75,57.57,1692,898,1,1,50,50,2,50,40,10,0,1,2,True,,522,1519,True,True,11,,1070,946,530,151,40,40,Left,-1.63105725,-1.514138866,-1.666222268,-1.365532596,1.7654110580000002,-0.37562955299999995,3000.0,Free,"Correct, no change",4,6
1175,0,1402,2140,96.7,98.42,1902,1177,1,1,50,50,2,50,41,9,0,2,2,True,,880,642,True,True,11,,748,1114,916,197,41,41,Left,1.086881864,0.991054274,0.940803995,0.918851458,1.332644923,-0.410490336,3000.0,Free,"Correct, no change",3,5
1177,0,1745,1461,87.67,55.03,830,1178,1,-1,58,50,2,58,50,8,0,2,2,True,,842,1206,True,False,11,,435,584,1225,115,50,58,Right,0.585492891,0.528911392,-1.828323779,-1.507572633,0.899878788,-0.011915378999999999,3000.0,Free,Correct to incorrect,3,4
1180,0,1987,1420,21.12,26.02,1673,1341,-1,-1,50,50,0,50,56,6,1,2,2,False,,938,1392,True,True,11,,578,530,1683,75,56,56,Right,-3.109682758,-2.877025348,-3.6797272530000003,-3.129848799,0.034346519,0.269294941,3000.0,Free,"Incorrect, no change",3,6
1183,0,1339,1697,96.08,96.15,1254,1664,1,1,50,50,2,42,50,8,0,1,0,False,,828,644,False,False,11,,590,920,2077,196,42,42,Left,1.0524564859999999,0.959323533,0.7959337470000001,0.791910165,0.899878788,-0.483697982,3000.0,Free,"Correct, no change",3,2
1187,0,2562,1287,55.83,79.45,638,512,1,1,50,50,1,50,43,7,0,2,2,True,,800,1066,True,True,11,,626,510,2722,166,43,43,Right,-1.182416841,-1.100615667,-0.269851775,-0.141975115,0.46711265399999996,0.9374599570000001,3000.0,Free,"Correct, no change",3,4
1193,1,1429,1514,98.1,101.3,1579,1413,1,1,58,58,1,50,58,8,0,1,1,False,,510,959,False,False,11,,652,774,3522,199,50,50,Right,1.164616588,1.062704333,1.124604133,1.079904728,0.899878788,-0.379115631,3000.0,Free,"Correct, no change",3,3
1196,1,1205,1410,59.77,95.4,526,1104,1,1,57,57,2,57,50,7,0,1,2,True,,822,1002,True,True,11,,288,1103,4090,176,50,50,Right,-0.963649117,-0.8989719290000001,0.7480691279999999,0.74996921,0.46711265399999996,-0.6394094810000001,3000.0,Free,"Correct, no change",2,5
1198,1,2376,1667,58.37,59.83,1456,1315,-1,1,50,56,1,50,56,6,1,2,3,False,,810,1576,True,False,11,,722,785,4387,99,56,50,Right,-1.041383841,-0.9706219890000001,-1.5219902159999998,-1.239150516,0.034346519,0.7213231,3000.0,Free,Incorrect to correct,3,3
1204,1,1274,1471,95.42,100.47,516,483,1,1,59,59,1,59,50,9,0,2,3,True,,950,907,True,True,11,,655,1218,5287,197,50,50,Right,1.015810115,0.9255456479999999,1.0716339540000002,1.03349007,1.332644923,-0.559229679,3000.0,Free,"Correct, no change",1,4
1205,1,1426,1346,97.28,100.25,1559,2885,1,1,59,59,2,59,50,9,0,2,3,True,,1076,860,True,True,11,,440,1395,5485,198,50,50,Left,1.119086249,1.020737869,1.057593666,1.02118739,1.332644923,-0.38260171,3000.0,Free,"Correct, no change",4,4
1210,1,1405,1447,39.2,80.55,684,910,1,1,56,56,1,50,56,6,0,2,4,False,,710,1394,False,False,11,,898,1008,6289,159,50,50,Left,-2.105794317,-1.9517160130000002,-0.19965033399999998,-0.080461713,0.034346519,-0.40700425799999995,3000.0,Free,"Correct, no change",3,4
1211,1,1397,3441,97.2,100.88,995,4394,1,1,56,56,2,50,56,6,0,1,2,False,,612,1096,False,False,11,,974,1094,6487,198,50,50,Left,1.114644265,1.01664358,1.0977999459999999,1.056417793,0.034346519,-0.416300467,3000.0,Free,"Correct, no change",3,4
1218,2,2681,2622,84.68,97.25,1193,1100,-1,-1,46,46,0,50,46,4,1,1,3,True,,524,1348,False,False,11,,886,943,7441,8,50,50,Left,0.41947373,0.37588733700000004,0.8661351890000001,0.853423567,-0.8311857509999999,1.075741065,3000.0,Free,"Incorrect, no change",3,5
1220,2,1802,1643,48.72,92.85,970,622,1,1,55,55,2,55,50,5,0,2,2,True,,830,1002,True,True,11,,587,1158,7800,170,50,50,Right,-1.577198191,-1.46449561,0.585329423,0.60736996,-0.39841961600000003,0.05432011,3000.0,Free,"Correct, no change",1,3
1221,2,1649,2125,82.7,63.3,1022,844,-1,1,50,54,0,50,54,4,1,2,4,False,,984,1489,True,False,11,,576,900,7889,89,54,50,Right,0.30953462,0.27455368199999997,-1.3005365770000001,-1.045103694,-0.8311857509999999,-0.123469886,3000.0,Free,Incorrect to correct,2,3
1223,2,1652,3249,81.95,84.72,453,588,1,1,55,55,2,55,50,5,0,3,3,True,,796,1020,True,True,11,,736,864,8224,182,50,50,Right,0.267891017,0.236169722,0.06647695,0.152730001,-0.39841961600000003,-0.11998380800000001,3000.0,Free,"Correct, no change",1,3
1226,2,3172,1123,91.47,92.7,771,891,1,1,50,50,1,47,50,3,0,2,3,False,,1131,1166,False,False,11,,576,738,8773,191,47,47,Left,0.796487143,0.723390124,0.575756499,0.598981769,-1.2639518859999999,1.646295887,3000.0,Free,"Correct, no change",2,3
1227,2,2616,1422,47.93,93.6,1103,878,1,1,53,53,2,50,53,3,0,1,4,False,,1274,1216,False,False,11,,354,1075,8942,169,50,50,Right,-1.621062786,-1.504926715,0.6331940420000001,0.649310916,-1.2639518859999999,1.000209367,3000.0,Free,"Correct, no change",3,3
1232,2,4117,1248,87.9,94.18,1315,1277,1,1,55,55,1,55,50,5,0,2,4,True,,836,1418,True,True,11,,754,916,9495,190,50,50,Left,0.598263596,0.5406824729999999,0.670209347,0.681745255,-0.39841961600000003,2.7444105660000004,3000.0,Free,"Correct, no change",4,4
1235,3,1359,1572,91.53,89.78,2316,1016,1,1,50,50,1,50,47,3,0,2,4,True,,950,1035,True,True,11,,622,1332,10043,189,47,47,Right,0.799818631,0.726460841,0.389403581,0.435691648,-1.2639518859999999,-0.46045745899999996,3000.0,Free,"Correct, no change",1,5
1240,3,3130,1844,81.7,69.25,759,621,1,1,50,50,1,46,50,4,0,3,4,False,,596,1261,False,False,11,,925,1076,10540,174,46,46,Right,0.254009816,0.223375068,-0.920810597,-0.7123721120000001,-0.8311857509999999,1.597490791,3000.0,Free,"Correct, no change",2,3
1245,3,2259,1747,77.65,79.3,1508,621,1,-1,50,48,2,50,48,2,0,2,4,True,,940,1082,True,False,11,,604,1015,11409,98,48,50,Left,0.029134364,0.016101683000000002,-0.279424699,-0.150363306,-1.696718021,0.585366044,3000.0,Free,Correct to incorrect,2,5
1247,3,2047,1113,76.05,90.77,1220,721,1,1,50,50,2,50,49,1,0,3,3,True,,848,1203,True,True,11,,616,1026,11691,183,49,49,Right,-0.059705321,-0.065784099,0.45258487799999997,0.49105371,-2.1294841559999997,0.339016508,3000.0,Free,"Correct, no change",3,4
1249,3,2252,1772,57.87,54.38,557,593,1,-1,51,50,1,51,50,1,0,2,4,True,,796,1073,True,False,11,,506,1086,11794,100,50,51,Right,-1.069146243,-0.996211295,-1.8698064490000001,-1.543921461,-2.1294841559999997,0.577231862,3000.0,Free,Correct to incorrect,3,3
1251,3,1217,1790,80.37,96.73,703,1592,1,1,52,52,1,52,50,2,0,2,4,True,,856,1263,True,True,11,,562,1030,12080,188,50,50,Left,0.180161828,0.15530751199999998,0.832949053,0.824344505,-1.696718021,-0.625465168,3000.0,Free,"Correct, no change",2,5
1252,3,1283,1498,72.1,77.75,701,690,1,-1,52,50,2,52,50,2,0,2,4,True,,846,1267,True,False,11,,672,998,12177,97,50,52,Right,-0.279028294,-0.267939623,-0.37834491200000003,-0.23704128100000002,-1.696718021,-0.548771444,3000.0,Free,Correct to incorrect,3,5
1258,4,2289,1030,87.13,88.3,414,357,1,1,54,54,1,54,50,4,0,2,3,True,,858,1849,True,True,11,,671,840,12701,187,50,50,Right,0.5555094970000001,0.501274941,0.294950732,0.35292816200000005,-0.8311857509999999,0.620226828,3000.0,Free,"Correct, no change",3,4
1259,4,1488,1465,71.87,80.18,434,391,-1,1,46,50,1,50,46,4,1,2,4,True,,997,1172,False,True,11,,662,1186,12805,104,50,46,Left,-0.291798999,-0.279710704,-0.223263546,-0.101152585,-0.8311857509999999,-0.31055609,3000.0,Free,Incorrect to correct,2,5
1261,4,3896,1418,88.0,86.87,449,522,-1,-1,50,50,1,55,50,5,1,2,4,True,,1104,1510,False,False,11,,564,952,13006,12,55,55,Left,0.603816076,0.545800335,0.203688858,0.27296074,-0.39841961600000003,2.487602795,3000.0,Free,"Incorrect, no change",1,2
1262,4,1495,1298,94.35,98.22,1036,1071,1,1,56,56,1,50,56,6,0,2,2,False,,718,657,False,False,11,,582,1038,13202,196,50,50,Left,0.9563985759999999,0.870784531,0.928040097,0.9076672029999999,0.034346519,-0.302421908,3000.0,Free,"Correct, no change",2,3
1266,4,1486,1820,79.13,87.27,316,946,-1,1,50,56,1,50,56,6,1,1,5,False,,1099,1081,True,False,11,,542,1432,13777,103,56,50,Right,0.111311072,0.091846031,0.229216655,0.29532925,0.034346519,-0.312880143,3000.0,Free,Incorrect to correct,3,5
1269,4,2535,1582,84.17,87.87,449,832,-1,1,50,56,0,56,50,6,1,2,3,True,,728,1006,False,True,11,,1111,1394,14259,100,56,50,Left,0.39115608,0.34978624399999997,0.26750835100000003,0.328882015,0.034346519,0.906085252,3000.0,Free,Incorrect to correct,4,5
