,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
3620,1,1211,1272,54.33,90.55,297,843,1,1,50,50,1,50,45,5,0,1,3,True,,797,1756,True,True,24,,862,789,4472,172,45,45,Right,-0.065927523,-0.192068782,0.74839392,0.9844190270000001,0.459496699,-0.5214800070000001,3000.0,Free,"Correct, no change",3,9
3621,1,1453,2441,64.43,74.62,758,430,1,1,50,50,2,50,45,5,0,1,3,True,,781,998,True,True,24,,806,1282,4641,169,45,45,Right,0.263692825,0.180736302,0.110591269,0.331681145,0.459496699,-0.29282289,3000.0,Free,"Correct, no change",3,4
3623,1,6210,3425,71.37,81.57,699,547,-1,-1,45,45,0,45,50,5,1,1,2,False,,783,1126,True,True,24,,902,718,4788,23,50,50,Right,0.49018443,0.43690138,0.38885419600000004,0.616460071,0.459496699,4.201895735,3000.0,Free,"Incorrect, no change",2,1
3629,1,1647,7509,40.5,82.55,614,790,-1,-1,46,46,1,50,46,4,1,1,3,True,,768,861,False,False,24,,792,1780,5707,37,50,50,Right,-0.51727895,-0.702553368,0.42809127,0.656615948,-0.115634931,-0.10951925,3000.0,Free,"Incorrect, no change",3,7
3630,1,1907,1650,78.65,77.1,486,669,1,1,50,50,1,45,50,5,0,2,5,False,,938,957,False,False,24,,688,1648,5884,177,45,45,Left,0.7277721659999999,0.7056163320000001,0.20988509,0.4333001,0.459496699,0.136145421,3000.0,Free,"Correct, no change",2,4
3633,1,4392,3467,49.92,44.17,752,307,-1,1,45,50,0,45,50,5,1,1,3,False,,833,1645,True,False,24,,892,1018,6261,97,50,45,Right,-0.209850863,-0.35484803200000004,-1.1085606909999999,-0.916019325,0.459496699,2.4841327619999998,3000.0,Free,Incorrect to correct,1,5
3635,2,1166,1196,60.7,70.97,552,1954,1,1,50,50,2,50,44,6,0,1,2,True,,860,1734,True,True,24,,761,846,6614,165,44,44,Left,0.141961746,0.043056801,-0.035546815,0.182120991,1.034628329,-0.563998893,3000.0,Free,"Correct, no change",3,5
3636,2,1479,1330,74.53,100.1,664,669,1,1,55,55,1,50,55,5,0,1,3,False,,912,1206,False,False,24,,799,1131,6801,187,50,50,Left,0.593313173,0.553541386,1.130755208,1.3757339530000001,0.459496699,-0.268256423,3000.0,Free,"Correct, no change",4,5
3646,2,1522,1115,87.58,99.28,1376,439,1,1,55,55,1,50,55,5,0,1,3,False,,777,1181,False,False,24,,888,1155,8259,192,50,50,Right,1.019208771,1.035235084,1.097924186,1.342134138,0.459496699,-0.227627265,3000.0,Free,"Correct, no change",4,12
3648,2,1574,1292,84.72,88.07,512,524,1,1,50,50,1,43,50,7,0,1,2,False,,1002,496,False,False,24,,774,1713,8496,186,43,43,Left,0.925870731,0.9296684959999999,0.649100098,0.882800073,1.609759959,-0.178494331,3000.0,Free,"Correct, no change",4,8
