,BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second,RightFirst,Left_IA_Second_Dwell_Time_REVISED,Right_IA_Second_Dwell_Time_REVISED,Left_Gazetime_New,Right_Gazetime_New,LeftLonger,LEFT_PRESENTATION_TIME_REV,RIGHT_PRESENTATION_TIME_REV
2150,4,1213,1608,58.08,75.78,602,841,1,1,54,54,1,50,54,4,0,1,1,False,1500,790,1375,False,False,15,1500,748,1276,11823,166,50,50,Right,0.23763698,0.375273836,0.790120858,0.541644451,-0.44045523299999995,-0.920723188,,Fixed,"Correct, no change",3,6,1,1276.0,1375.0,1594,1342,99,1500.0,1500.0
2151,4,1464,1690,47.8,72.85,768,549,1,1,54,54,2,54,50,4,0,1,1,True,1250,749,3540,True,True,15,3750,824,934,11982,159,50,50,Left,-0.289719209,-0.15891682699999998,0.651545087,0.41138519799999995,-0.44045523299999995,0.029324171,,Fixed,"Correct, no change",3,10,0,3540.0,934.0,3607,1238,99,3750.0,1250.0
2152,4,1431,1063,46.52,20.3,1054,637,-1,-1,47,47,0,47,50,3,1,1,1,False,1750,693,4794,True,True,15,5250,824,1231,12047,65,50,50,Left,-0.355382236,-0.22543084,-1.833832637,-1.924834497,-1.104633758,-0.095582454,,Fixed,"Incorrect, no change",4,16,0,4794.0,1231.0,4861,1446,99,5250.0,1750.0
2153,4,1252,1380,48.65,30.67,792,954,-1,-1,46,46,0,46,50,4,1,1,1,False,2250,854,668,True,True,15,750,721,2444,12106,59,50,50,Left,-0.246114855,-0.11474736599999999,-1.34337846,-1.46381455,-0.44045523299999995,-0.7731062679999999,,Fixed,"Incorrect, no change",3,6,0,668.0,2444.0,735,2588,99,750.0,2250.0
2154,4,1476,1589,63.2,80.22,507,767,1,1,50,50,1,45,50,5,0,1,1,False,2250,876,756,False,False,15,750,725,2679,12277,171,45,45,Left,0.50028909,0.641329886,1.00011281,0.739033898,0.22372329300000002,0.074744762,,Fixed,"Correct, no change",3,7,0,756.0,2679.0,756,3237,99,750.0,2250.0
2155,4,1518,1303,76.65,84.55,1580,654,1,1,55,55,2,50,55,5,0,1,1,False,3500,878,3352,False,False,15,3500,705,2937,12457,180,50,50,Left,1.19026387,1.3402466579999999,1.204902259,0.931533066,0.22372329300000002,0.23371683,,Fixed,"Correct, no change",4,13,0,3352.0,2937.0,3352,3214,99,3500.0,3500.0
2156,4,1270,1354,45.63,64.32,510,465,-1,-1,50,50,0,54,50,4,1,1,1,True,1250,892,3512,False,False,15,3750,699,966,12501,44,54,54,Left,-0.40103856,-0.27167886399999996,0.248114602,0.032166283,-0.44045523299999995,-0.704975382,,Fixed,"Incorrect, no change",4,11,0,3512.0,966.0,3512,1340,99,3750.0,1250.0
2157,4,1469,1348,7.78,41.2,1490,1053,1,1,55,55,1,50,55,5,0,2,1,False,3500,775,2289,False,False,15,3500,720,2950,12624,123,50,50,Right,-2.3427147999999995,-2.2385189999999997,-0.845357005,-0.9956814690000001,0.22372329300000002,0.048249417,,Fixed,"Correct, no change",2,13,1,2950.0,2289.0,2566,3016,99,3500.0,3500.0
2158,4,1272,1361,55.68,76.57,947,723,1,1,55,55,2,50,55,5,0,1,1,False,5250,878,1672,False,False,15,1750,724,4562,12789,165,50,50,Left,0.114518804,0.250560062,0.827484291,0.576765546,0.22372329300000002,-0.6974052829999999,,Fixed,"Correct, no change",3,15,0,1672.0,4562.0,1672,4891,99,1750.0,5250.0
2159,4,1183,1101,67.38,43.23,526,864,1,1,50,50,1,46,50,4,0,1,1,False,3500,820,3352,False,False,15,3500,707,2613,12943,154,46,46,Left,0.714719914,0.858539708,-0.7493471709999999,-0.905433591,-0.44045523299999995,-1.034274665,,Fixed,"Correct, no change",4,15,0,3352.0,2613.0,3352,2855,99,3500.0,3500.0
2160,4,1431,1736,49.92,22.15,638,648,-1,-1,46,46,1,46,50,4,1,1,1,False,2500,956,2354,True,True,15,2500,664,2099,13006,63,50,50,Left,-0.18096482,-0.048752994,-1.74633599,-1.8425888940000001,-0.44045523299999995,-0.095582454,,Fixed,"Incorrect, no change",3,11,0,2354.0,2099.0,2421,2344,99,2500.0,2500.0
2161,4,1478,1707,46.93,41.12,683,847,-1,1,50,55,0,50,55,5,1,1,1,False,5250,698,1640,True,False,15,1750,838,4516,13102,96,55,50,Left,-0.334349548,-0.20412557,-0.8491406440000001,-0.9992380359999999,0.22372329300000002,0.08231486,,Fixed,Incorrect to correct,4,13,0,1640.0,4516.0,1640,4583,99,1750.0,5250.0
2162,4,1430,1312,54.4,68.32,685,570,1,1,50,50,1,50,44,6,0,1,1,True,1250,566,3314,True,True,15,3750,862,962,13263,161,44,44,Left,0.048855776,0.18404605,0.43729654100000004,0.209994614,0.887901818,-0.09936750300000001,,Fixed,"Correct, no change",3,10,0,3314.0,962.0,3381,1176,99,3750.0,1250.0
2163,4,1288,1508,47.52,62.68,707,739,1,1,56,56,2,50,56,6,0,1,1,False,1500,962,1048,False,False,15,1500,690,1350,13417,154,50,50,Right,-0.304082996,-0.17346676800000002,0.170550007,-0.040743333,0.887901818,-0.636844495,,Fixed,"Correct, no change",2,4,1,1350.0,1048.0,1048,1417,99,1500.0,1500.0
