Participant,Trial,Correct1,CorrectKey,Response1,RT1,DotDifference,DotNumberRight,DotNumberLeft,Conf1,Conf1_RT,CipResponse,CipRT,Correct2,Response2,RT2,Conf2,Conf2_RT,ZConf1,ZConf2,Switch,ZSwitch,ZDifficult,Block,NonAbsDiff,ZNonAbsDiff,LeftTime,RightTime,ChosenTime,UnchosenTime,Change,Type,DeltaSampling,ZDeltaSampling,ConfChange
1,11,1,right,right,0.675902266,3,50,47,0.72,1.062,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.5174260823769146 1.0091598583312589 1.639480360718153 2.7263611708003737 3.5741653735203727 4.0]",0,left,0.28778103,0.77,4.012,-0.364833626,-0.457072732,4,0.499046869,-0.842285903,1,-3,-0.642487149,2.004449213,1.478124705,1.478124705,2.004449213,1,Correct to incorrect,0.526324507,0.436530993,0.05
1,12,1,left,left,0.692433573,3,50,53,0.82,2.297,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.3849686408357229 0.8036627459296142 1.5727056805735629 2.690066989074694 3.7050157273370132 4.0]",1,left,1.362275262,0.58,3.959,0.342894067,-1.751317428,4,0.499046869,-0.842285903,1,3,0.726934838,1.831039686,1.783991673,1.831039686,1.783991673,0,"Correct, no change",0.047048013,-0.190296708,-0.24
1,13,0,right,left,0.635974532,2,50,48,0.6,1.855,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[1.5746600155616761 2.0600005074738874 2.770833054179093 3.2884532871175907 4.0]",0,left,0.830075206,0.6,5.26,-1.214106858,-1.615081144,3,-0.529915747,-1.571537768,1,-2,-0.414250151,1.002960725,1.42237926,1.002960725,1.42237926,0,"Incorrect, no change",-0.419418535,-0.800370762,0
1,14,1,left,left,1.485712543,3,50,53,0.62,1.408,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.35685045017817174 0.7135412464449473 1.477846166038944 2.2560817450830655 2.958427830868459 3.4580405275737576 4.0]",0,right,0.426427342,0.82,1.937,-1.072561319,-0.116482023,5,1.528009485,-0.842285903,1,3,0.726934838,1.634539072,2.008610478,1.634539072,2.008610478,1,Correct to incorrect,-0.374071406,-0.741062958,0.2
1,15,1,left,left,0.884870995,3,47,50,0.64,1.001,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.3981734451626835 0.7959953666140791 1.5242912007597624 2.288930538288696 3.365334345235169 4.0]",1,left,0.395065896,0.99,3.291,-0.931015781,1.04152639,4,0.499046869,-0.842285903,1,3,0.726934838,1.797126914,1.804699641,1.797126914,1.804699641,0,"Correct, no change",-0.007572727,-0.26173312,0.35
1,16,1,left,left,0.640437714,2,48,50,0.93,6.145,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.5746075578463206 1.0064363335841335 1.712282546377537 2.433482334152359 3.19532801324749 4.0]",1,left,0.341878619,1,3.331,1.12139453,1.109644531,4,0.499046869,-1.571537768,1,2,0.49869784,1.95770055,1.467691892,1.95770055,1.467691892,0,"Correct, no change",0.490008658,0.38903486,0.07
1,17,0,right,left,2.013684051,2,52,50,0.66,2.324,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.2928081327700056 0.8413462018179416 1.4806235739815747 2.070033615702414 2.914700333873043 3.6152260799208307 4.0]",1,right,0.44567134,0.66,1.903,-0.789470242,-1.206372293,5,1.528009485,-1.571537768,1,-2,-0.414250151,1.838473857,1.86871801,1.838473857,1.86871801,1,Incorrect to correct,-0.030244154,-0.291384226,0
1,18,1,right,right,0.592769616,3,50,47,0.83,1.377,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.4621025793530862 1.0009727485012263 1.6008823159609165 2.230515736315283 2.9480249527659907 3.7095883865476935 4.0]",1,right,1.922690157,0.56,2.419,0.413666837,-1.887553712,5,1.528009485,-0.842285903,1,-3,-0.642487149,1.930067023,1.607830397,1.607830397,1.930067023,0,"Correct, no change",0.322236626,0.169612129,-0.27
1,19,0,left,right,7.406887413,3,47,50,0.5,0.514,"[""'left'"", ""'right'""]",[2.742418078298215 3.3518544229991676 4.0],1,left,1.239700683,0.58,1.503,-1.921834551,-1.751317428,1,-2.58784098,-0.842285903,1,3,0.726934838,0.609436345,0.648145577,0.648145577,0.609436345,1,Incorrect to correct,-0.038709232,-0.302455384,0.08
1,20,0,right,left,1.479100305,4,50,46,0.6,4.415,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.7014771123249375 1.1022192749587703 1.6650745940132765 2.2770434489575564 3.317533107518102 4.0]",1,right,2.027341303,0.64,1.468,-1.214106858,-1.342608577,4,0.499046869,-0.113034039,1,-4,-0.870724147,1.69517791,1.603344978,1.69517791,1.603344978,1,Incorrect to correct,0.091832932,-0.131724196,0.04
1,21,0,right,left,0.716783361,5,50,45,0.71,2.14,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.30368084954170627 0.7113614003028488 1.473729090681445 2.0508215476911573 2.8656027633805934 3.966814508094103 4.0]",0,left,0.705574231,0.7,1.884,-0.435606395,-0.933899725,5,1.528009485,0.616217825,1,-5,-1.098961144,2.085984752,1.610334398,2.085984752,1.610334398,0,"Incorrect, no change",0.475650355,0.370256175,-0.01
1,22,1,left,left,0.526205337,6,44,50,0.88,1.447,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.3282282093059621 0.6761226449962123 1.1528979894137592 1.6521813999170263 2.6059655826065864 4.0]",1,left,0.619452347,0.99,1.685,0.767530683,1.04152639,4,0.499046869,1.34546969,1,6,1.411645831,2.241212264,1.430559527,2.241212264,1.430559527,0,"Correct, no change",0.810652736,0.80839319,0.11
1,23,1,left,left,0.515899677,6,44,50,0.73,1.921,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.48257049646781525 0.8559054985671537 2.0219863398961024 2.638531275202695 3.323036606077949 4.0]",1,left,0.251056923,0.87,2.905,-0.294060857,0.224108687,4,0.499046869,1.34546969,1,6,1.411645831,1.666843331,1.850586172,1.666843331,1.850586172,0,"Correct, no change",-0.183742841,-0.492139386,0.14
1,24,1,left,left,1.027620698,5,50,55,0.58,3.918,"[""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.5101495700619125 1.1319057802429597 1.6508673911739606 2.386730250738765 3.040574332157121 3.6885796417882375 4.0]",1,left,2.043967263,0.57,5.236,-1.355652397,-1.81943557,5,1.528009485,0.616217825,1,5,1.183408833,1.484226051,2.005624379,1.484226051,2.005624379,0,"Correct, no change",-0.521398329,-0.933746299,-0.01
1,25,1,right,right,0.748986411,5,50,45,0.99,2.229,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.5146880177198909 0.8284715389818302 1.3435504236986162 1.8916639843882876 3.025869921402773 3.341715258953627 4.0]",1,right,0.748914852,1,3.338,1.546031146,1.109644531,5,1.528009485,0.616217825,1,-5,-1.098961144,1.17774242,2.307569563,2.307569563,1.17774242,0,"Correct, no change",-1.129827143,-1.729487463,0.01
1,26,1,left,left,0.900281875,4,46,50,0.6,1.351,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.754745356280182 1.2525511127714708 1.8102578781363263 2.3895823539060075 3.2773715947732853 3.774061199335847 4.0]",0,right,0.07622163,0.72,1.05,-1.214106858,-0.797663442,5,1.528009485,-0.113034039,2,4,0.955171836,1.573819837,1.671434807,1.573819837,1.671434807,1,Correct to incorrect,-0.09761497,-0.379495983,0.12
1,27,0,right,left,0.495219078,4,54,50,0.93,2.622,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.7025476488524873 1.0839580030369689 1.6455483499048569 2.2599065967588103 4.0]",1,right,0.29811463,0.92,1.814,1.12139453,0.564699396,3,-0.529915747,-0.113034039,2,-4,-0.870724147,0.995768601,2.30168375,0.995768601,2.30168375,1,Incorrect to correct,-1.305915149,-1.959786343,-0.01
1,28,1,left,left,0.527957824,5,45,50,0.72,1.196,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.82963416160419 1.235323885051912 1.8254959891200997 2.3547036752024724 2.6510250494138745 3.4992919633914426 4.0]",1,left,0.198094302,0.74,1.526,-0.364833626,-0.661427158,5,1.528009485,0.616217825,2,5,1.183408833,1.783164324,1.387201515,1.783164324,1.387201515,0,"Correct, no change",0.395962809,0.26603583,0.02
1,29,0,right,left,0.924075725,5,50,45,0.7,2.003,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.9936988020563149 1.4174599233047047 2.148156838306022 2.785634397663671 3.4439237002552545 4.0]",0,left,1.087972159,0.74,1.719,-0.506379165,-0.661427158,4,0.499046869,0.616217825,2,-5,-1.098961144,1.61731498,1.388986218,1.61731498,1.388986218,0,"Incorrect, no change",0.228328763,0.046793566,0.04
1,30,1,left,left,0.436376346,6,50,56,0.95,2.232,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.35392365178995533 0.6793257016870484 1.3189654312227503 1.818129386385408 2.4640931215690216 4.0]",0,right,0.049615876,0.85,5.024,1.262940069,0.087872403,4,0.499046869,1.34546969,2,6,1.411645831,2.360472883,1.285603465,2.360472883,1.285603465,1,Correct to incorrect,1.074869419,1.153952252,-0.1
1,31,1,right,right,0.406368538,6,50,44,0.8,1.932,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.40249122829845874 0.9161836898128968 1.4803541580004094 1.9271519138346775 4.0]",1,right,0.196968457,1,1.847,0.201348529,1.109644531,3,-0.529915747,1.34546969,2,-6,-1.327198142,0.960490217,2.637018554,2.637018554,0.960490217,0,"Correct, no change",-1.676528337,-2.444497392,0.2
1,32,1,right,right,0.439203646,5,50,45,0.84,1.605,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.6255194810582907 0.9987720903300215 1.4956920526856265 1.9216749292318127 2.75729354681971 3.4759947508100595 4.0]",1,right,0.265775019,0.83,1.668,0.484439606,-0.048363881,5,1.528009485,0.616217825,2,-5,-1.098961144,1.51793669,1.856543829,1.856543829,1.51793669,0,"Correct, no change",-0.338607139,-0.694680577,-0.01
1,33,1,left,left,0.387424175,5,45,50,1,4.682,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.760491471774003 1.2930553112455527 1.9322599838596943 2.5062899366457714 3.1958143874981033 4.0]",1,left,0.183761372,0.91,3.502,1.616803916,0.496581254,4,0.499046869,0.616217825,2,5,1.183408833,1.910779405,1.328729123,1.910779405,1.328729123,0,"Correct, no change",0.582050281,0.509412637,-0.09
1,34,0,left,right,2.338215417,4,46,50,0.58,1.186,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.8237931090516213 1.5576431888912339 2.184121448732185 2.7942203571838036 3.8006917576094565 4.0]",1,left,2.086828923,0.6,1.623,-1.355652397,-1.615081144,4,0.499046869,-0.113034039,2,4,0.955171836,1.543257231,1.63294966,1.63294966,1.543257231,1,Incorrect to correct,-0.08969243,-0.36913439,0.02
1,35,0,right,left,1.264702201,5,55,50,0.49,2.232,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.5173585145566904 0.9654788320294756 1.5157927657965047 2.1205335747908975 2.9978392553057347 3.7320026559573307 4.0]",1,right,0.393573132,0.77,2.264,-1.992607321,-0.457072732,5,1.528009485,0.616217825,2,-5,-1.098961144,1.787024527,1.695616958,1.787024527,1.695616958,1,Incorrect to correct,0.091407569,-0.132280513,0.28
1,36,1,right,right,0.763939996,6,56,50,0.74,1.534,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.3690220655989833 0.8093321705237031 1.3077699854657112 1.8527400745879277 2.5698515817312 3.897357642163115 4.0]",1,right,0.396026955,0.86,1.572,-0.223288087,0.155990545,5,1.528009485,1.34546969,2,-6,-1.327198142,2.312786254,1.31819168,1.31819168,2.312786254,0,"Correct, no change",0.994594575,1.048963802,0.12
1,37,1,left,left,0.628875349,6,50,56,0.58,1.077,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.3868103627937671 0.7861960373338661 1.3532531053388084 2.6270929274178343 4.0]",1,left,0.935756975,0.67,2.559,-1.355652397,-1.138254151,3,-0.529915747,1.34546969,2,6,1.411645831,1.673225497,1.939964141,1.673225497,1.939964141,0,"Correct, no change",-0.266738644,-0.600686475,0.09
1,38,1,left,left,0.422414897,5,50,55,0.77,1.123,"[""'left'"", ""'right'"", ""'left'""]",[2.789202092491905 3.2231365893421753 3.784696430906479 4.0],1,left,0.266238015,0.83,1.842,-0.010969779,-0.048363881,2,-1.558878364,0.616217825,2,5,1.183408833,0.649238066,0.561559842,0.649238066,0.561559842,0,"Correct, no change",0.087678224,-0.137157983,0.06
1,39,1,right,right,0.398696312,5,55,50,0.88,1.915,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[1.7617156751948642 2.3105043438699795 2.9160799147684884 3.481593471526139 4.0]",1,right,0.280786193,0.9,3.636,0.767530683,0.428463113,3,-0.529915747,0.616217825,2,-5,-1.098961144,1.114302225,1.123982099,1.123982099,1.114302225,0,"Correct, no change",-0.009679874,-0.264488978,0.02
1,40,1,right,right,0.744214185,4,50,46,0.74,0.999,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.3869386561200372 0.7639662252149719 1.3874506890351768 2.1330809471000975 4.0]",1,right,0.347219328,0.95,3.769,-0.223288087,0.769053822,3,-0.529915747,-0.113034039,2,-4,-0.870724147,1.122657827,2.490403517,2.490403517,1.122657827,0,"Correct, no change",-1.36774569,-2.040652181,0.21
1,41,0,right,left,0.965773051,4,50,46,0.66,2.813,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.43552248312334996 0.8669640981133853 1.7437044327052718 2.9590835523122223 3.6316513318161014 4.0]",1,right,0.265613939,0.62,1.747,-0.789470242,-1.478844861,4,0.499046869,-0.113034039,2,-4,-0.870724147,2.015169403,1.549308114,2.015169403,1.549308114,1,Incorrect to correct,0.465861289,0.357453423,-0.04
1,42,0,right,left,1.001232186,5,50,45,0.58,1.629,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.4937702186725801 0.8824040572617378 1.521008032017562 1.8952901239499624 4.0]",1,right,0.151138945,0.8,2.047,-1.355652397,-0.252718306,3,-0.529915747,0.616217825,2,-5,-1.098961144,0.762915931,2.743313851,0.762915931,2.743313851,1,Incorrect to correct,-1.98039792,-2.841916992,0.22
1,43,1,right,right,1.5644128,6,56,50,0.6,2.108,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.9645440013300686 1.3715942042217648 2.0532480021174706 2.618457931333978 4.0]",1,right,0.707120023,0.54,2.56,-1.214106858,-2.023789996,3,-0.529915747,1.34546969,2,-6,-1.327198142,0.972260132,2.063195867,2.063195867,0.972260132,0,"Correct, no change",-1.090935734,-1.678622852,-0.06
1,44,1,right,right,0.609959211,6,50,44,0.74,1.719,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.34546028366457904 0.7769218553949031 1.2756456219067331 2.405219314590795 3.1791986912940047 3.759214525543939 4.0]",1,right,0.346646569,0.73,2.251,-0.223288087,-0.7295453,5,1.528009485,1.34546969,2,-6,-1.327198142,2.141051099,1.513488618,1.513488618,2.141051099,0,"Correct, no change",0.627562481,0.568936331,-0.01
1,45,0,left,right,1.59275251,5,50,55,0.6,1.42,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.608026828700531 1.263520192085707 1.9849948126720847 2.889741580180271 3.3696897610789165 3.6520163291752397 4.0]",0,right,0.28092475,0.9,6.878,-1.214106858,0.428463113,5,1.528009485,0.616217825,2,5,1.183408833,1.842566699,1.549406472,1.549406472,1.842566699,0,"Incorrect, no change",0.293160227,0.1315842,0.3
1,46,0,left,right,1.216960264,6,44,50,0.56,3.793,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.33914255013587535 0.9038042392094212 1.3999230810259178 2.7759123294745223 3.371164564130595 3.957204197642568 4.0]",0,right,0.056071881,0.93,3.077,-1.497197935,0.632817538,5,1.528009485,1.34546969,2,6,1.411645831,2.526690571,1.134166879,1.134166879,2.526690571,0,"Incorrect, no change",1.392523692,1.569400329,0.37
1,47,1,left,left,0.641926487,7,43,50,0.58,1.311,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.36129795212400495 0.7582865371550724 1.4849769941538398 2.0231979990785476 2.9150732398084074 3.5830874615494395 3.960269267732656 4.0]",1,left,0.232310132,0.72,1.534,-1.355652397,-0.797663442,6,2.556972102,2.074721554,2,7,1.639882829,1.642954544,1.995747504,1.642954544,1.995747504,0,"Correct, no change",-0.35279296,-0.713233679,0.14
1,48,1,left,left,0.592472831,7,43,50,1,1.765,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.44775938558450434 0.8231946919659094 1.3546911309713323 1.7913990444139927 2.3062073727633106 4.0]",1,left,0.737380712,1,1.995,1.616803916,1.109644531,4,0.499046869,2.074721554,2,7,1.639882829,2.505935847,1.046304767,2.505935847,1.046304767,0,"Correct, no change",1.45963108,1.657167557,0
1,49,1,right,right,0.501648284,6,50,44,0.93,2.144,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.6030442010414845 1.1161171483399812 1.710647519219492 2.3504226694858517 4.0]",1,right,0.100122962,1,1.803,1.12139453,1.109644531,3,-0.529915747,1.34546969,2,-6,-1.327198142,1.152848098,2.244107701,2.244107701,1.152848098,0,"Correct, no change",-1.091259604,-1.679046428,0.07
1,50,1,right,right,3.229714046,6,50,44,0.5,0.565,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.49408353948092554 1.0077717245512758 1.9962581113468332 2.3082535087523866 3.1771958899371384 3.4933459954081627 4.0]",1,right,0.439217901,0.94,1.811,-1.921834551,0.70093568,5,1.528009485,1.34546969,2,-6,-1.327198142,1.141833688,2.364082773,2.364082773,1.141833688,0,"Correct, no change",-1.222249085,-1.850362644,0.44
1,51,1,left,left,0.611456252,5,50,55,0.77,1.846,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.3229832930737757 0.6473937781156565 1.1349400599356159 1.5846720266672492 2.2749134946643608 3.396111058686074 4.0]",0,right,0.033083998,0.76,3.59,-0.010969779,-0.525190874,5,1.528009485,0.616217825,3,5,1.183408833,1.895340016,1.781676691,1.895340016,1.781676691,1,Correct to incorrect,0.113663325,-0.103173047,-0.01
1,52,1,left,left,0.605992667,5,45,50,0.86,1.48,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.6195264721864078 0.9985078060781234 1.556696099054534 2.1010768941705464 2.52589600770807 2.9294780143718526 3.277316286093992 4.0]",1,left,0.346062407,0.91,2.295,0.625985145,0.496581254,6,2.556972102,0.616217825,3,5,1.183408833,2.04962785,1.330845678,2.04962785,1.330845678,0,"Correct, no change",0.718782171,0.688239134,0.05
1,53,1,right,right,0.436228096,4,50,46,0.94,1.762,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.5928109552223759 1.1996292607982468 1.7477086099352164 2.323856257877196 3.0897189435345354 3.791866887404467 4.0]",1,right,0.26723129,0.99,4.078,1.1921673,1.04152639,5,1.528009485,-0.113034039,3,-4,-0.870724147,1.885113897,1.522075147,1.522075147,1.885113897,0,"Correct, no change",0.36303875,0.222975692,0.05
1,54,1,left,left,0.381790102,4,50,54,1,1.591,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.41850052472000243 0.7476022690243553 1.2621152376268583 1.7438352918979945 2.4788802102411864 4.0]",1,left,7.251347436,0.91,2.715,1.616803916,0.496581254,4,0.499046869,-0.113034039,3,4,0.955171836,2.331941588,1.249557887,2.331941588,1.249557887,0,"Correct, no change",1.082383701,1.1637799,-0.09
1,55,0,right,left,1.94763209,3,53,50,0.58,2.016,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.4637923449954542 0.9289423184673069 1.5761530647723703 3.25498184364551 4.0]",0,left,0.215609192,0.6,1.621,-1.355652397,-1.615081144,3,-0.529915747,-0.842285903,3,-3,-0.642487149,2.143978752,1.392228903,2.143978752,1.392228903,0,"Incorrect, no change",0.75174985,0.73135632,0.02
1,56,0,right,left,1.336769694,4,54,50,0.75,2.287,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.36157820176595123 0.7832829235594545 1.2989587998818024 1.9215369426347024 4.0]",1,right,0.091172935,0.94,2.293,-0.152515318,0.70093568,3,-0.529915747,-0.113034039,3,-4,-0.870724147,1.044282865,2.594138934,1.044282865,2.594138934,1,Incorrect to correct,-1.549856069,-2.278827497,0.19
1,57,1,right,right,1.759044893,5,55,50,0.89,3.309,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.46511690230181557 0.9143014841829427 1.7545825663037249 3.048623455382767 4.0]",1,right,0.801120828,0.6,3.953,0.838303453,-1.615081144,3,-0.529915747,0.616217825,3,-5,-1.098961144,1.743225471,1.791657627,1.791657627,1.743225471,0,"Correct, no change",-0.048432156,-0.31517163,-0.29
1,58,1,left,left,1.572986215,5,50,55,0.62,3.12,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.5710920356359566 1.0736705889285076 2.3187222440974438 3.1609280111952103 3.8526884721613897 4.0]",1,left,0.30902669,0.93,3.509,-1.072561319,0.632817538,4,0.499046869,0.616217825,3,5,1.183408833,1.492095848,1.936812116,1.492095848,1.936812116,0,"Correct, no change",-0.444716268,-0.833456716,0.31
1,59,1,right,right,0.776361641,4,54,50,0.78,2.188,"[""'left'"", ""'right'"", ""'left'"", ""'right'""]","[0.6031927362018905 1.0434968541048875 1.6072696129849646 2.1638516735292797 4.0]",1,right,0.37941297,0.94,4.679,0.05980299,0.70093568,3,-0.529915747,-0.113034039,3,-4,-0.870724147,0.996886178,2.399921085,2.399921085,0.996886178,0,"Correct, no change",-1.403034907,-2.086805621,0.16
1,60,1,right,right,0.874954777,4,50,46,0.87,1.983,"[""'left'"", ""'right'"", ""'left'"", ""'right'"", ""'left'""]","[0.3270427789830137 0.794640018906648 1.354102977347793 2.885358795094362 3.550816843602661 4.0]",1,right,0.534529863,0.85,2.282,0.696757914,0.087872403,4,0.499046869,-0.113034039,3,-4,-0.870724147,2.448036214,1.224921007,1.224921007,2.448036214,0,"Correct, no change",1.223115207,1.347837343,-0.02
