BLOCK,CHOICE_RT_1,CHOICE_RT_2,CONF_1,CONF_2,CONF_RT_1,CONF_RT_2,CORRECT,CORRECT_2,Chosen_Nr_1,Chosen_Nr_2,Correct_Count,DOTS_LEFT,DOTS_RIGHT,Dot_Diff,Error_Count,GSF_First_Presentation,GSF_Second_Presentation,LEFT_MOST_DOTS,LEFT_PRESENTATION_TIME,Left_IA_First_Dwell_Time,Left_IA_Second_Dwell_Time,PICKED_LEFT_1,PICKED_LEFT_2,Participant,RIGHT_PRESENTATION_TIME,Right_IA_First_Dwell_Time,Right_IA_Second_Dwell_Time,TOTAL_POINTS,TRIAL_POINTS,Unchosen_Nr_1,Unchosen_Nr_2,Which_First,ZConf1,ZConf1ALL,ZConf2,ZConf2ALL,ZDot_Diff,ZRT,sampling_time,session,type,Internal_Saccades_First,Internal_Saccades_Second
1,1524,8855,39.7,45.6,1696,600,1,-1,51,50,2,51,50,1,0,1,3,TRUE,,737,1748,TRUE,FALSE,1,,844,2212,3456,96,50,51,Right,-0.673338618,-0.554019531,-0.227288078,-0.104605813,-1.381358503,-1.015902724,5000,Free,Correct to incorrect,5,13
1,2600,5412,41.17,53.02,2053,748,-1,-1,50,50,0,50,50,0,1,1,2,FALSE,,792,2392,TRUE,TRUE,1,,620,1293,3508,52,50,50,Left,-0.530923487,-0.451905567,0.368083823,0.324752239,-2.120952716,-0.216993051,5000,Free,"Incorrect, no change",3,10
1,3631,2981,28.07,26.67,2401,422,1,1,51,51,1,51,50,1,0,1,3,TRUE,,806,1854,TRUE,TRUE,1,,846,2172,3635,127,50,50,Left,-1.800065134,-1.36190076,-1.746208574,-1.199989632,-1.381358503,0.548504973,5000,Free,"Correct, no change",5,12
1,3260,7285,40.9,33.15,2225,367,1,-1,51,50,2,51,50,1,0,1,4,TRUE,,740,2202,TRUE,FALSE,1,,875,2037,3738,103,50,51,Left,-0.557081368,-0.470661193,-1.226261146,-0.825024648,-1.381358503,0.273044482,5000,Free,Correct to incorrect,4,11
1,5917,25245,37.22,48.5,614,220,-1,-1,50,50,0,50,50,0,1,1,1,FALSE,,872,155,FALSE,FALSE,1,,468,1970,3794,56,50,50,Right,-0.913603602,-0.72629343,0.005404444,0.06320259,-2.120952716,2.245816789,3000,Free,"Incorrect, no change",3,3
1,946,3798,37.52,33.7,675,1554,1,-1,51,50,1,50,51,1,0,1,5,FALSE,,1056,2273,FALSE,TRUE,1,,733,2850,3895,101,50,51,Left,-0.884539289,-0.705453846,-1.182129806,-0.793198916,-1.381358503,-1.445056805,7000,Free,Correct to incorrect,5,16
1,2794,3373,37.23,43.42,657,394,-1,1,49,50,1,50,49,1,1,1,5,TRUE,,586,2169,FALSE,TRUE,1,,968,3276,3997,102,50,49,Left,-0.912634791,-0.725598777,-0.402208663,-0.230751441,-1.381358503,-0.072951715,7000,Free,Incorrect to correct,5,14
1,2096,39883,36.17,46.87,779,219,1,1,50,50,1,48,50,2,0,2,3,FALSE,,821,1194,FALSE,FALSE,1,,678,1186,4138,141,48,48,Left,-1.015328696,-0.799231976,-0.125384801,-0.031117306,-0.641764291,-0.59120353,3000,Free,"Correct, no change",5,7
1,1975,1671,48,42.95,1628,2438,-1,-1,50,50,1,50,52,2,1,1,6,FALSE,,726,2782,TRUE,TRUE,1,,808,2840,4192,54,52,52,Right,0.130774028,0.022542309,-0.4399209,-0.257947975,-0.641764291,-0.681043744,7000,Free,"Incorrect, no change",5,17
1,2383,4271,46.33,44.05,315,319,1,-1,50,47,1,50,47,3,0,2,6,TRUE,,576,2634,TRUE,FALSE,1,,1004,3056,4292,100,47,50,Right,-0.031017311,-0.093464712,-0.351658219,-0.194296512,0.097829922,-0.378111451,7000,Free,Correct to incorrect,2,20
1,4894,3119,36.53,37.52,730,1945,-1,1,50,53,1,53,50,3,1,2,1,TRUE,,663,482,FALSE,TRUE,1,,888,1500,4391,99,53,50,Left,-0.980451521,-0.774224475,-0.875617587,-0.572154744,0.097829922,1.486258614,3000,Free,Incorrect to correct,4,5
1,2937,2794,46.18,57.03,543,867,1,1,50,50,1,50,46,4,0,2,4,TRUE,,798,2148,TRUE,TRUE,1,,713,1472,4542,151,46,46,Right,-0.045549468,-0.103884504,0.689841414,0.556790755,0.837424135,0.033223083,5000,Free,"Correct, no change",4,8
2,1121,1969,59.13,61.9,1205,2394,1,1,50,50,2,50,46,4,0,1,2,TRUE,,462,1441,TRUE,TRUE,1,,810,730,4701,159,46,46,Right,1.209060023,0.795690896,1.080604373,0.838593143,0.837424135,-1.315122611,3000,Free,"Correct, no change",3,6
