subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,Session,gaze_L_bin3,gaze_R_bin3,trial_og
1,99,4426.0,1,5.0,5.3,0.25,0.75,Free,0.25,0.75,170
1,100,1538.0,0,5.0,4.7,0.75,0.25,Free,0.75,0.25,171
1,101,3384.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,172
1,102,3643.9999999999995,0,5.2,5.0,0.75,0.25,Free,0.75,0.25,173
1,103,2575.0,0,5.2,5.0,0.5,0.5,Free,0.5,0.5,176
1,104,2123.0,0,5.1,5.0,0.5,0.5,Free,0.5,0.5,181
1,105,2851.0000000000005,1,5.0,4.8,0.25,0.75,Free,0.25,0.75,182
1,106,1709.0,1,5.0,5.3,0.75,0.25,Free,0.75,0.25,184
1,107,1425.0,0,5.0,4.6,0.25,0.75,Free,0.25,0.75,185
1,108,1755.0,0,5.5,5.0,0.5,0.5,Free,0.5,0.5,186
1,109,1560.0,0,5.0,4.5,0.75,0.25,Free,0.75,0.25,187
1,110,3022.0,0,5.0,4.6,0.75,0.25,Free,0.75,0.25,188
1,111,1694.0,0,4.5,5.0,0.75,0.25,Free,0.75,0.25,189
1,112,1909.0,0,5.0,4.6,0.5,0.5,Free,0.5,0.5,191
1,113,1703.0,0,5.0,4.7,0.5,0.5,Free,0.5,0.5,194
1,114,1531.0,1,5.0,5.4,0.5,0.5,Free,0.5,0.5,195
1,115,3033.0,1,4.5,5.0,0.25,0.75,Free,0.25,0.75,196
1,116,1748.0000000000002,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,199
1,117,1503.0,1,5.0,5.3,0.5,0.5,Free,0.5,0.5,200
1,118,1253.0,0,5.0,4.6,0.75,0.25,Free,0.75,0.25,201
1,119,1855.0,0,5.0,4.4,0.25,0.75,Free,0.25,0.75,204
1,120,2853.9999999999995,1,4.5,5.0,0.5,0.5,Free,0.5,0.5,205
1,121,1501.9999999999998,0,5.0,5.5,0.75,0.25,Free,0.75,0.25,206
1,122,5577.999999999999,0,5.4,5.0,0.5,0.5,Free,0.5,0.5,207
1,123,1436.0,1,5.0,4.6,0.25,0.75,Free,0.25,0.75,208
1,124,1338.0,0,5.5,5.0,0.5,0.5,Free,0.5,0.5,209
1,125,4417.0,0,5.5,5.0,0.5,0.5,Free,0.5,0.5,210
2,126,1402.0,1,4.8,5.0,0.25,0.75,Free,0.25,0.75,23
2,127,1219.0,1,4.8,5.0,0.75,0.25,Free,0.75,0.25,24
2,128,1455.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,27
2,129,1541.9999999999998,0,5.2,5.0,0.25,0.75,Free,0.25,0.75,28
2,130,1506.0,1,5.0,4.9,0.25,0.75,Free,0.25,0.75,29
2,131,1821.9999999999998,0,5.0,5.1,0.5,0.5,Free,0.5,0.5,30
2,132,1117.0,1,4.8,5.0,0.25,0.75,Free,0.25,0.75,31
2,133,2371.0,1,4.8,5.0,0.25,0.75,Free,0.25,0.75,32
2,134,1337.0,1,4.9,5.0,0.25,0.75,Free,0.25,0.75,34
2,135,1345.0,0,5.0,5.1,0.5,0.5,Free,0.5,0.5,36
2,136,1173.0,0,5.0,5.1,0.5,0.5,Free,0.5,0.5,37
2,137,1495.0,1,5.0,5.2,0.25,0.75,Free,0.25,0.75,38
2,138,1409.0,1,5.0,5.3,0.5,0.5,Free,0.5,0.5,40
2,139,1510.0,1,5.0,4.8,0.5,0.5,Free,0.5,0.5,42
2,140,1950.9999999999998,0,5.0,5.2,0.5,0.5,Free,0.5,0.5,46
2,141,1595.0,0,5.0,5.1,0.5,0.5,Free,0.5,0.5,47
2,142,1631.0,0,5.2,5.0,0.5,0.5,Free,0.5,0.5,48
2,143,1729.0,0,5.0,5.3,0.25,0.75,Free,0.25,0.75,50
2,144,2076.0,1,4.6,5.0,0.5,0.5,Free,0.5,0.5,51
2,145,1222.9999999999998,0,5.4,5.0,0.75,0.25,Free,0.75,0.25,54
2,146,1888.0000000000002,0,5.5,5.0,0.5,0.5,Free,0.5,0.5,55
2,147,1514.0,1,4.5,5.0,0.5,0.5,Free,0.5,0.5,56
2,148,1436.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,57
2,149,1273.0,1,4.6,5.0,0.25,0.75,Free,0.25,0.75,58
2,150,1909.0,0,5.3,5.0,0.5,0.5,Free,0.5,0.5,59
2,151,2249.0,0,5.3,5.0,0.75,0.25,Free,0.75,0.25,60
2,152,1225.0,1,4.8,5.0,0.75,0.25,Free,0.75,0.25,61
2,153,1656.0,1,5.2,5.0,0.25,0.75,Free,0.25,0.75,62
2,154,1449.0,0,5.2,5.0,0.5,0.5,Free,0.5,0.5,65
2,155,1128.0,0,5.0,4.7,0.5,0.5,Free,0.5,0.5,67
2,156,1609.0,1,4.6,5.0,0.75,0.25,Free,0.75,0.25,69
2,157,2066.0,1,5.0,5.4,0.25,0.75,Free,0.25,0.75,70
